borrower_id,age,gender,state,borrower_segment,recharge_freq_30d,recharge_avg_amount_inr,recharge_amount_cv,upi_active_days_30d,upi_monthly_txn_count,job_app_sessions_per_week,sim_tenure_months,elec_payment_delay_days,elec_bill_variance_pct,water_gas_bill_available,water_gas_payment_delay_days,rent_receipt_streak_months,rent_amount_cv,declared_monthly_income_inr,sms_avg_monthly_credit_inr,sms_avg_monthly_debit_inr,sms_debit_to_credit_ratio,sms_credit_regularity_score,gig_payment_inflows_monthly_inr,gig_income_trend,income_declaration_ratio,salary_slip_available,salary_slip_net_income_inr,salary_slip_months_count,employer_verified,rental_agreement_available,rental_agreement_tenure_months,rental_amount_match_utility,utility_bill_available,utility_address_match_id,id_verified,id_type,id_address_match_score,behavioral_score_0_100,household_score_0_100,income_score_0_100,document_score_0_100,credit_score,risk_category,loan_approved,loan_amount_eligible_inr,default_label
BRW-00011,27,F,Maharashtra,Formal Salaried,3,439.0088423566926,0.19774346161818201,21.0,16.0,0,71,-3,0.082,1,3.0,15,0.016,85852,84381.46854155631,63860.76523992055,0.652,0.8384739208163567,423,Stable,1.122,1,60295.0,6.0,1,1,25.0,1.0,1,1,1,Aadhaar,0.859,77.5,98.6,90.6,99.2,842,Low Risk,1,2060448,0
BRW-00012,29,M,Tamil Nadu,Unbanked Rural,2,85.94891136180998,0.3679935219527029,6.0,7.0,0,26,14,0.357,0,,0,0.361,9113,4825.267748827282,5196.805899517496,0.825,0.3031065066866191,1937,Growing,2.34,1,7463.0,5.0,1,0,,,1,1,1,Aadhaar,0.878,46.9,11.3,14.1,83.6,433,Very High Risk,0,0,1
BRW-00013,46,F,Gujarat,Self-Employed,4,337.5276716450587,0.1761940980645201,24.0,19.0,0,29,5,0.233,1,4.0,4,0.037,99714,90467.7556640241,75059.13115546119,0.776,0.7388917205919817,7571,Stable,1.123,0,,,0,0,,,1,1,1,Aadhaar,0.983,79.3,58.6,85.0,42.8,577,High Risk,0,0,1
BRW-00014,39,M,Delhi,Informal Salaried,3,275.90075347881026,0.30328001764210144,12.0,20.0,4,28,8,0.138,1,11.0,9,0.103,38588,21839.61760810561,21582.905866865665,0.871,0.45932624221095064,3652,Declining,1.237,1,32465.0,3.0,0,1,35.0,1.0,0,0,1,PAN+Aadhaar,0.845,56.1,62.0,65.1,63.4,558,High Risk,0,0,0
BRW-00015,46,M,Tamil Nadu,Formal Salaried,3,340.546360958991,0.2680436304585468,28.0,26.0,0,28,-1,0.074,1,-9.0,12,0.039,102082,100764.59481946146,68280.3645874238,0.788,1.0703287467776392,523,Stable,1.141,1,77160.0,3.0,1,0,,,1,1,1,PAN+Aadhaar,0.76,77.2,98.7,90.2,80.1,771,Low Risk,1,2449968,0
BRW-00016,33,M,Delhi,Formal Salaried,5,570.6352177429617,0.18196695245497918,22.0,15.0,0,56,-5,0.065,1,2.0,14,0.002,103932,156915.30391324582,75129.80068935234,0.657,0.9152845533178561,1984,Stable,0.987,1,81566.0,2.0,0,1,22.0,1.0,0,0,1,Driving Licence,0.941,87.4,98.9,98.3,62.5,720,Low Risk,1,2494368,1
BRW-00017,36,M,Delhi,Informal Salaried,4,289.6309893930653,0.48342018001215564,20.0,12.0,7,46,-4,0.249,1,13.0,11,0.151,30978,25125.45504495544,9379.489227217186,0.72,0.4891308408047952,3678,Stable,1.26,0,,,0,1,6.0,1.0,1,1,1,Aadhaar,0.893,68.8,93.2,54.8,56.5,602,High Risk,1,185868,0
BRW-00018,47,F,Gujarat,Gig Worker,3,232.42345867978233,0.2519212743307572,29.0,67.0,5,9,3,0.181,1,1.0,4,0.213,27882,14243.137164686454,14636.7989098388,0.634,0.6274671949119495,21714,Declining,1.289,0,,,0,1,6.0,1.0,1,1,1,PAN+Aadhaar,0.954,65.2,66.6,61.8,56.9,571,High Risk,0,0,0
BRW-00019,47,F,UP,Informal Salaried,4,372.72946787044646,0.2217868311038584,21.0,22.0,6,30,-5,0.256,0,,5,0.19,26945,21679.456357284962,20365.93582010697,0.893,0.8389897861732778,2116,Growing,1.285,1,20124.0,5.0,1,0,,,1,1,1,Voter ID,0.769,68.1,60.7,60.3,83.0,641,Medium Risk,1,323340,0
BRW-00020,53,F,Karnataka,Informal Salaried,3,105.9103037892228,0.5208110178903551,12.0,17.0,7,37,0,0.142,0,,8,0.181,31784,19203.422565964505,17429.072755454792,0.717,0.4800848856842725,531,Stable,1.654,0,,,0,0,,,0,0,1,Voter ID,0.905,52.5,70.0,42.2,22.3,415,Very High Risk,0,0,1
BRW-00021,31,M,Karnataka,Gig Worker,2,316.89169482304635,0.2986375925293421,22.0,34.0,4,35,5,0.193,0,,1,0.114,18314,11712.332517424064,12669.487468292013,0.854,0.6575702311915135,27215,Growing,1.536,0,,,0,0,,,0,0,0,Aadhaar,0.24169608135597417,63.4,34.3,41.3,21.8,382,Very High Risk,0,0,1
BRW-00022,37,M,Karnataka,Formal Salaried,4,213.87395917407952,0.070185183859847,26.0,58.0,0,62,-4,0.052,1,-2.0,17,0.029,89870,109273.0667156397,58281.67390934953,0.62,1.0777840573925674,938,Declining,0.978,1,77079.0,1.0,1,0,,,0,0,0,PAN+Aadhaar,0.22633272169100718,88.5,99.1,97.9,58.4,721,Low Risk,1,2156880,0
BRW-00023,28,M,Rajasthan,Informal Salaried,2,332.192550624257,0.3976635378116105,23.0,12.0,6,31,17,0.155,0,,10,0.062,28595,25513.099145342898,24096.33899005943,0.925,0.4874652032780835,5662,Declining,1.43,0,,,0,1,16.0,1.0,1,1,1,Aadhaar,0.777,58.4,39.4,49.9,55.9,474,Very High Risk,0,0,1
BRW-00024,38,F,Maharashtra,Informal Salaried,3,283.17242524071924,0.21527942708487763,17.0,14.0,2,41,14,0.119,1,5.0,3,0.089,28755,20388.158785185326,22546.534741191597,0.893,0.3178706120850524,5788,Declining,1.603,1,21686.0,1.0,0,0,,,1,1,0,Aadhaar,0.1828521016249091,69.1,40.5,38.6,44.5,451,Very High Risk,0,0,1
BRW-00025,44,F,Rajasthan,Gig Worker,4,292.8909479758165,0.22546332938798552,29.0,65.0,5,39,-7,0.248,1,7.0,1,0.069,47311,37145.474086173475,32385.03532322957,0.844,1.0085253471144777,20287,Declining,1.24,0,,,0,0,,,1,1,1,Passport,0.772,80.7,68.7,76.5,41.6,596,High Risk,1,283866,0
BRW-00026,47,M,Tamil Nadu,Self-Employed,5,239.68805824484633,0.256978835249977,25.0,14.0,0,20,-4,0.135,0,,9,0.052,84038,106573.33435470595,54193.79079625012,0.575,0.5230778650976359,10036,Growing,0.966,0,,,0,1,25.0,1.0,1,1,1,Driving Licence,0.756,81.0,72.6,84.8,55.7,673,Medium Risk,1,1008456,0
BRW-00027,42,M,Karnataka,Formal Salaried,4,635.5625627942973,0.09517362188813726,26.0,33.0,0,93,-8,0.101,1,-9.0,11,0.044,86126,58972.38296663296,38002.35923577331,0.699,0.8370207803305113,776,Growing,1.024,1,61373.0,1.0,1,0,,,1,0,0,Voter ID,0.21816639281674674,88.8,95.8,92.7,68.9,798,Low Risk,1,2067024,0
BRW-00028,43,F,Delhi,Gig Worker,4,251.8562387365436,0.4194687818925676,26.0,66.0,5,7,-2,0.24,1,12.0,3,0.119,45598,27511.48759264629,14272.056122419408,0.626,0.7065278307745003,34905,Growing,1.42,0,,,0,0,,,0,0,1,Aadhaar,0.833,62.6,73.7,62.6,21.9,465,Very High Risk,0,0,1
BRW-00029,28,F,UP,Gig Worker,4,403.49647654698657,0.19727339459274795,22.0,57.0,4,43,6,0.229,0,,1,0.162,50449,33038.25483936224,20540.99827257462,0.657,0.39486000630872753,8594,Stable,1.342,0,,,0,0,,,1,1,1,Voter ID,0.907,77.1,30.2,65.2,42.3,488,Very High Risk,0,0,1
BRW-00030,35,F,Maharashtra,Formal Salaried,5,448.40398258877013,0.07450392472358974,29.0,25.0,0,22,-3,0.081,0,,19,0.022,48639,48359.78210419683,27824.000461636162,0.627,0.8762116483459101,454,Stable,1.0,1,41293.0,1.0,1,1,21.0,1.0,1,1,1,Aadhaar,0.783,86.9,80.9,92.3,91.6,787,Low Risk,1,1167336,0
BRW-00031,36,F,Delhi,Gig Worker,2,222.12935814057957,0.20466745009221854,28.0,62.0,2,10,4,0.165,0,,4,0.142,46023,31437.948188137354,17995.3113051674,0.807,0.6537080219350244,17065,Declining,1.612,0,,,0,0,,,0,0,1,Aadhaar,0.859,63.9,45.7,54.5,22.1,418,Very High Risk,0,0,1
BRW-00032,28,M,Maharashtra,Formal Salaried,5,474.52121316026154,0.18586944204966116,22.0,34.0,0,69,-6,0.069,1,5.0,10,0.048,104628,89725.55100306547,51615.719706260636,0.556,0.7388571936693352,2318,Stable,1.119,1,76912.0,1.0,1,0,,,1,0,1,PAN+Aadhaar,0.801,88.6,93.9,91.8,68.9,754,Low Risk,1,2511072,0
BRW-00033,30,M,Bihar,Formal Salaried,3,204.96334226382663,0.059896868661203355,25.0,34.0,0,22,0,0.103,1,-12.0,6,0.015,101918,78652.4215231812,68354.07856497749,0.776,0.6864426731079816,199,Stable,1.061,1,85896.0,4.0,1,1,25.0,1.0,1,1,0,Aadhaar,0.024510397011614858,73.7,83.5,94.8,96.9,837,Low Risk,1,2446032,0
BRW-00034,29,F,Delhi,Unbanked Rural,2,65.53678256437288,0.7996193875881834,5.0,4.0,0,5,7,0.398,0,,0,0.288,14942,9131.961175129565,7586.190681081984,0.818,0.5594673776861355,376,Declining,1.955,0,,,0,0,,,0,0,1,Driving Licence,0.761,34.4,21.2,23.9,21.5,300,Very High Risk,0,0,1
BRW-00035,44,F,Tamil Nadu,Unbanked Rural,2,115.44525907943031,0.36102263273858637,,,0,10,14,0.54,1,-3.0,0,0.226,9899,3948.8534686367498,3353.1927286965724,0.894,0.5527196231391782,717,Stable,2.389,0,,,0,0,,,0,0,1,Aadhaar,0.839,40.1,25.8,18.3,21.9,300,Very High Risk,0,0,1
BRW-00036,50,M,Delhi,Self-Employed,5,407.83150190985907,0.1060846296699596,26.0,34.0,1,33,0,0.225,1,4.0,8,0.026,80639,55874.434238242866,15700.135264445864,0.528,0.3656084905279318,137,Growing,1.473,0,,,0,1,9.0,1.0,1,1,1,Aadhaar,0.908,87.5,86.2,65.8,56.6,659,Medium Risk,1,967668,0
BRW-00037,39,F,UP,Informal Salaried,4,169.4148179030929,0.37336403154477416,11.0,22.0,3,32,-5,0.151,1,7.0,6,0.123,13159,8215.580263304344,6768.041848215768,0.892,0.29807869742136617,6096,Stable,1.778,0,,,0,0,,,1,1,1,PAN+Aadhaar,0.978,61.0,82.6,25.8,42.7,507,Very High Risk,0,0,1
BRW-00038,52,F,UP,Formal Salaried,5,389.56014965239956,0.21044215493433582,26.0,24.0,1,27,-5,0.038,1,1.0,7,0.041,101192,87346.92778230112,50587.94116511279,0.585,0.7120456932182437,1680,Stable,1.168,1,75908.0,6.0,0,0,,,1,0,1,Voter ID,0.967,83.4,87.1,92.3,65.5,730,Low Risk,1,2428608,0
BRW-00039,51,F,Maharashtra,Self-Employed,4,582.3884697045092,0.3002802920803216,27.0,11.0,1,72,4,0.176,1,0.0,11,0.03,86988,58541.28917825277,38890.11039460801,0.81,0.5773795631414396,13510,Declining,1.499,0,,,0,1,35.0,1.0,0,0,1,PAN+Aadhaar,0.974,85.5,80.3,74.4,37.0,532,High Risk,0,0,0
BRW-00040,56,F,Karnataka,Informal Salaried,2,182.34555999491226,0.19530521346947777,14.0,13.0,2,56,8,0.19,1,-10.0,6,0.06,19435,16622.39693608932,11692.005732649,0.833,0.92823723140013,248,Stable,1.41,0,,,0,1,18.0,1.0,0,0,1,Aadhaar,0.766,63.8,53.7,50.3,35.8,448,Very High Risk,0,0,1
BRW-00041,39,M,Gujarat,Formal Salaried,3,306.48016186051524,0.11442487719705202,23.0,45.0,1,27,1,0.022,1,-2.0,10,0.008,48706,48236.39348598209,28926.86987893662,0.787,0.8622394298952639,814,Stable,1.04,0,,,0,0,,,1,1,1,Voter ID,0.96,72.0,91.2,93.3,42.6,657,Medium Risk,1,584472,0
BRW-00042,38,F,Tamil Nadu,Gig Worker,4,228.85331827460257,0.33786150005490057,29.0,61.0,2,11,3,0.276,1,6.0,9,0.203,24862,21810.77734653778,13507.946378463,0.681,0.48033169418339083,35056,Stable,1.337,0,,,0,1,25.0,1.0,0,0,1,Aadhaar,0.945,70.9,77.2,50.2,36.8,541,High Risk,0,0,1
BRW-00043,35,F,UP,Formal Salaried,4,550.3402465700017,0.10655985791916518,27.0,18.0,0,79,-1,0.049,1,3.0,20,0.036,40219,41566.15396307724,37969.21931906385,0.664,0.5768177357361617,2025,Growing,1.073,1,30249.0,4.0,1,1,7.0,0.0,1,0,1,Aadhaar,0.976,90.1,99.1,83.6,88.4,832,Low Risk,1,965256,0
BRW-00044,52,F,UP,Unbanked Rural,2,90.51267896360271,0.8396933176352012,,,0,6,-6,0.572,1,0.0,0,0.27,12097,6591.664159009189,2920.954355574053,0.973,0.37613109717646437,486,Growing,2.575,0,,,0,0,,,0,0,0,PAN+Aadhaar,0.22559132771903775,36.4,60.5,18.2,21.9,317,Very High Risk,0,0,1
BRW-00045,45,F,Rajasthan,Informal Salaried,3,218.9924019079668,0.2738472875876208,18.0,10.0,5,11,2,0.315,0,,6,0.12,11768,8532.808725346766,6421.638082985481,0.908,0.5447174032129259,4765,Stable,1.492,1,10031.0,3.0,1,0,,,1,1,0,Aadhaar,0.01545790319853506,55.0,55.0,44.0,81.3,572,High Risk,0,0,0
BRW-00046,56,F,Maharashtra,Gig Worker,3,234.37211171449218,0.3739916878962233,20.0,33.0,5,30,1,0.248,1,0.0,2,0.228,21096,15261.993642298145,8402.27994697575,0.718,0.42606103002362955,37369,Growing,1.559,0,,,0,0,,,1,1,1,Driving Licence,0.851,60.7,67.6,40.4,42.0,508,Very High Risk,0,0,0
BRW-00047,55,M,Tamil Nadu,Informal Salaried,3,218.46855994252098,0.2780092199466229,12.0,8.0,6,56,20,0.16,1,9.0,5,0.165,15185,10831.660998686351,7483.060354917311,0.923,0.6031301901226999,267,Stable,1.711,0,,,0,0,,,1,1,1,PAN+Aadhaar,0.909,57.7,44.7,34.4,42.3,401,Very High Risk,0,0,1
BRW-00048,24,F,Bihar,Gig Worker,2,209.06956219110404,0.43259102262372157,22.0,45.0,2,9,6,0.132,0,,2,0.212,26855,18764.75469482334,14121.539078818583,0.633,0.46540218239214887,34552,Stable,1.449,0,,,0,0,,,1,1,1,Driving Licence,0.856,53.7,34.3,46.4,42.0,407,Very High Risk,0,0,1
BRW-00049,47,F,Karnataka,Gig Worker,2,247.83014533786567,0.33067933968083907,22.0,66.0,2,45,11,0.195,1,5.0,5,0.213,29460,23094.950564675648,23430.63643155338,0.798,0.836096907693384,17327,Stable,1.113,0,,,0,1,35.0,0.0,1,1,1,Aadhaar,0.857,68.4,44.1,65.6,56.3,557,High Risk,0,0,0
BRW-00050,44,F,Karnataka,Formal Salaried,3,478.74384345832476,0.11476645712038257,29.0,53.0,0,65,0,0.042,1,2.0,15,0.032,63937,52971.50528941484,43608.4030434335,0.637,0.939659321420576,2843,Stable,1.093,0,,,0,0,,,1,1,0,Driving Licence,0.25585828501039853,86.3,99.3,90.0,42.2,669,Medium Risk,1,767244,0
BRW-00051,36,F,Maharashtra,Unbanked Rural,1,120.23810377392314,0.9364369188976521,2.0,0.0,0,33,5,0.322,0,,0,0.237,9710,5528.766057812467,5060.678477782119,0.825,0.42154714197020743,1076,Stable,1.593,0,,,0,0,,,1,1,1,Aadhaar,0.839,33.8,29.6,31.7,41.9,349,Very High Risk,0,0,1
BRW-00052,25,F,Tamil Nadu,Self-Employed,4,185.48241416575522,0.17251484405573683,15.0,28.0,1,62,0,0.114,0,,14,0.106,145312,86546.28681247428,49937.79985365271,0.635,0.5201974069622585,500,Stable,1.36,0,,,0,0,,,1,1,0,Aadhaar,0.14447774271236327,76.4,80.3,78.3,42.6,601,High Risk,1,871872,1
BRW-00053,50,M,Gujarat,Unbanked Rural,1,72.63189671514314,0.44042821520454584,,,1,11,16,0.264,0,,1,0.378,11590,5591.14035489886,4166.611418584798,1.02,0.5731612458226445,806,Stable,2.205,0,,,0,0,,,0,0,1,Aadhaar,0.908,35.7,15.4,19.2,22.3,300,Very High Risk,0,0,1
BRW-00054,43,M,Maharashtra,Unbanked Rural,2,67.28944374214412,0.5733266314342997,3.0,2.0,0,35,2,0.282,0,,1,0.107,5386,2725.4334806365914,3744.2628253852313,1.045,0.6646722404504516,1932,Declining,1.727,0,,,0,0,,,1,1,1,PAN+Aadhaar,0.922,42.3,43.4,26.4,42.4,369,Very High Risk,0,0,1
BRW-00055,46,M,Karnataka,Gig Worker,2,180.13715471110555,0.3650311526518575,18.0,68.0,2,41,0,0.253,0,,9,0.06,42924,28010.646411920363,19794.978673505786,0.71,0.2884312805635193,35023,Declining,1.592,0,,,0,0,,,1,1,1,Aadhaar,0.808,62.5,70.5,49.6,41.8,524,High Risk,0,0,1
BRW-00056,34,M,Karnataka,Unbanked Rural,1,72.51961258412547,0.7041910398223162,,,0,7,11,0.267,1,48.0,1,0.388,6405,2256.0577092308436,2979.858725293527,1.021,0.40029860924417576,600,Declining,2.749,0,,,0,0,,,0,0,1,PAN+Aadhaar,0.992,23.3,33.0,15.0,22.8,300,Very High Risk,0,0,1
BRW-00057,39,F,Bihar,Formal Salaried,3,353.0027152233078,0.09001177243202302,21.0,43.0,0,60,2,0.024,1,7.0,13,0.014,30123,31209.02599691825,22568.352303403044,0.677,0.9230348569448762,1725,Stable,0.957,1,22958.0,2.0,1,0,,,1,1,0,Aadhaar,0.206,80.2,92.5,84.2,58.3,710,Medium Risk,1,361476,0
BRW-00058,54,F,Rajasthan,Formal Salaried,4,509.70261288669326,0.24232347439866192,25.0,25.0,0,33,-8,0.102,1,-1.0,20,0.044,83149,87884.59284402728,44028.92205191394,0.729,1.0100626810427167,1797,Stable,1.051,1,64592.0,1.0,1,1,29.0,1.0,1,1,1,Aadhaar,0.799,80.0,98.2,95.1,91.7,825,Low Risk,1,1995576,0
BRW-00059,37,M,Tamil Nadu,Formal Salaried,4,591.9604420272797,0.15702046237549636,25.0,30.0,0,76,1,0.147,1,-2.0,18,0.019,101445,77684.19099787979,43802.96521438605,0.561,1.2635655985973937,70,Growing,1.164,1,77676.0,6.0,0,0,,,1,1,1,PAN+Aadhaar,0.938,86.9,93.9,92.6,73.9,774,Low Risk,1,2434680,0
BRW-00060,23,M,Bihar,Informal Salaried,3,225.90504036617637,0.2249230551791387,23.0,12.0,3,58,-2,0.199,0,,9,0.068,38028,24196.481478114696,20041.121678668103,0.839,0.49043140770100113,1430,Declining,1.772,0,,,0,1,13.0,1.0,1,1,1,Aadhaar,0.793,76.3,71.5,41.3,56.0,534,High Risk,0,0,0
BRW-00061,56,F,Rajasthan,Informal Salaried,2,291.651364013142,0.3821185191265372,12.0,15.0,2,24,-5,0.136,0,,6,0.062,13896,15004.985013696676,9361.519094333604,0.718,0.3738791489347501,4414,Stable,1.216,0,,,0,0,,,1,1,1,Voter ID,0.766,51.1,65.2,51.2,41.5,498,Very High Risk,0,0,1
BRW-00062,55,M,Gujarat,Informal Salaried,3,112.28470513902734,0.2951344979885578,21.0,11.0,3,39,14,0.271,1,-6.0,6,0.073,36200,31411.069676856794,26405.368909291214,0.767,0.6003012285360607,3222,Stable,1.232,1,29892.0,4.0,1,1,17.0,1.0,0,0,1,PAN+Aadhaar,0.882,69.6,45.2,61.9,76.5,608,High Risk,1,217200,1
BRW-00063,51,M,Delhi,Self-Employed,3,202.07309190574077,0.19504973563110603,18.0,35.0,2,52,3,0.231,0,,8,0.045,60834,39773.15052615473,26022.049304898523,0.698,0.720787946938554,2850,Declining,1.29,0,,,0,0,,,0,0,1,Passport,0.888,73.4,57.9,75.5,22.2,456,Very High Risk,0,0,1
BRW-00064,34,M,Karnataka,Informal Salaried,4,285.5446531782614,0.5205585646433784,21.0,23.0,3,22,15,0.335,1,19.0,2,0.123,19373,10175.78920288487,7949.724274467427,0.902,0.40951214705147565,6181,Stable,1.67,0,,,0,0,,,1,1,0,Aadhaar,0.33673457501744114,63.8,34.3,32.6,41.7,428,Very High Risk,0,0,1
BRW-00065,34,M,Karnataka,Informal Salaried,3,224.1781131887055,0.4358902900632568,22.0,14.0,7,52,11,0.287,1,0.0,9,0.155,27111,20588.326503478253,17511.04290711149,0.84,0.3461739791007434,3911,Growing,1.251,1,20643.0,2.0,1,1,33.0,1.0,1,1,1,Driving Licence,0.837,67.0,52.3,50.7,93.4,658,Medium Risk,1,325332,0
BRW-00066,39,M,Maharashtra,Gig Worker,3,120.4674991436962,0.38913297504573413,19.0,60.0,5,35,14,0.149,0,,2,0.247,22039,13540.426204867568,17066.194818813656,0.862,0.42798506777557177,19469,Growing,1.434,0,,,0,0,,,1,1,0,PAN+Aadhaar,0.16931422967634446,62.7,19.9,43.0,42.8,418,Very High Risk,0,0,1
BRW-00067,53,M,Tamil Nadu,Formal Salaried,4,327.27471273631875,0.2239789103938298,21.0,50.0,0,71,0,0.09,1,-7.0,14,0.022,54099,40503.5106238239,32742.102835904152,0.753,0.9336927765941452,485,Growing,1.071,1,44078.0,1.0,1,1,20.0,1.0,1,1,1,Driving Licence,0.821,82.1,98.4,91.4,91.8,850,Low Risk,1,1298376,1
BRW-00068,53,M,Gujarat,Self-Employed,5,304.0729212082469,0.251928672100229,21.0,32.0,1,66,0,0.068,1,3.0,15,0.072,89206,83636.44335743581,49096.929004164995,0.555,0.5045548355173672,9167,Stable,1.1,0,,,0,0,,,1,1,1,Aadhaar,0.789,86.6,98.8,82.5,41.7,631,Medium Risk,1,1070472,0
BRW-00069,56,F,Tamil Nadu,Formal Salaried,4,454.0184753765588,0.2281937756804555,20.0,27.0,0,36,0,0.108,1,0.0,8,0.026,80293,70653.64168990041,52200.57105073474,0.647,0.8046428053517697,1998,Stable,1.086,1,62344.0,2.0,0,0,,,1,1,1,Voter ID,0.998,77.4,88.3,89.5,68.6,748,Low Risk,1,1927032,0
BRW-00070,50,M,Karnataka,Unbanked Rural,2,179.03047592416326,0.6778189166658741,,,1,30,28,0.49,0,,1,0.262,15567,8402.158110480495,9019.065816884311,0.967,0.2061399195453375,1339,Declining,1.923,0,,,0,0,,,1,1,1,Voter ID,0.826,45.5,11.5,15.4,41.9,300,Very High Risk,0,0,1
BRW-00071,50,F,Delhi,Self-Employed,3,392.6088574415208,0.3679271886494545,26.0,11.0,0,70,-3,0.243,0,,12,0.072,138719,176982.64564361985,157949.89979467416,0.828,0.6914167024158436,3304,Stable,0.97,0,,,0,0,,,1,1,1,Aadhaar,0.92,81.1,78.1,90.1,42.4,616,High Risk,1,832314,0
BRW-00072,37,M,UP,Formal Salaried,3,548.3151059093475,0.090222031573756,20.0,16.0,0,82,-3,0.054,0,,10,0.0,45029,43306.31638679365,47539.69966614549,0.797,1.0729832158947703,1786,Stable,0.991,1,37812.0,5.0,1,0,,,1,1,1,PAN+Aadhaar,0.808,79.3,76.5,94.4,83.2,756,Low Risk,1,1080696,0
